sentiment,text,user
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","Habs19Alex"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","jenngatto"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","CHERKASYTODAY"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","Ribastur0075"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","myaidev"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","neonoto1"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","ohtheenvy"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","LebigreJacques1"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","HhJung2000"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","Hulino"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","PeopleFutureDE"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","Cincinuser"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","tobisagthey"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","Lugges_"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","bineoallgaeu"
"neutral","この21世紀の世界は、『カラマーゾフの兄弟』に於いてイワンが語るような「神がいなければ全てが許される」世界ではないのです。我々の住む世界が斯様な悪魔的な無神論が許容される世界では決してない事にどうか気付いて下さい。そして武器を捨て… https://t.co/SsUK12BKYU","jizo2018"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","NepCata"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","struppi9999"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","theRuxy"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","Peter_B_R"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","MiliVanili84"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","michaelvsondern"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","nicibe72"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","JC6581559086"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","Rainer_Lenz"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","FreytagArndt"
"neutral","RT @WPSNCanada: Grateful to @parlcent &amp; @jacqui_oneill for a dialogue with Ukrainian women MPs\nTheir words were moving, as they spoke of de…","MaggieMay243"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","Landi683"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","HoltzegelPetra"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","bvanselm"
"neutral","RT @Klitschko: Danke deutsches Bruderland!\nThx German Brother Country! \n🙏🇩🇪\n\n#Germany #Berlin #Support #FreeUkraine #WeAreAllUkrainians #St…","damabujn"
