sentiment,text,user
"negative","RT @lesiavasylenko: 100 days of pain and suffering for #Ukraine. Families get wiped out. 261 kids killed. 463 wounded. These are not number…","FionaGreenfield"
"negative","RT @lesiavasylenko: 100 days of pain and suffering for #Ukraine. Families get wiped out. 261 kids killed. 463 wounded. These are not number…","TrevorB46335859"
"neutral","Putin's War on Ukraine will be a stain on the Russian people remembered Ukraine’s childrens grandchildrens children… https://t.co/VDqekaOH0v","Steve76652499"
"positive","RT @MavkaSlavka: The sooner, the better. #StopPutinNOW \n\nhttps://t.co/MwjNCT4yrP","JenelleComedy"
"neutral","RT @debbie156: @kathrynresister @RogueCitizenOne #StopPutinNOW #ArrestTrump #DeportMurdock","Stifor420"
"negative","RT @lesiavasylenko: 100 days of pain and suffering for #Ukraine. Families get wiped out. 261 kids killed. 463 wounded. These are not number…","fastone65"
"negative","RT @lesiavasylenko: 100 days of pain and suffering for #Ukraine. Families get wiped out. 261 kids killed. 463 wounded. These are not number…","RichardThorold"
"negative","Fighting with strangers is the last thing on your mind while you're working hard and producing money.\n\nWithout dist… https://t.co/4PvJ3OCNNa","Bull_kong"
"negative","RT @lesiavasylenko: 100 days of pain and suffering for #Ukraine. Families get wiped out. 261 kids killed. 463 wounded. These are not number…","vanessa99917390"
"neutral","Not Kyiv!! @POTUS @NATO #StopPutinNOW #CloseTheSkyUkraineNOW #supplyUkrainewithHIMARSnow https://t.co/K1OHD6O9Ct","JenelleComedy"
"negative","RT @lesiavasylenko: 100 days of pain and suffering for #Ukraine. Families get wiped out. 261 kids killed. 463 wounded. These are not number…","AndreasHagen507"
"neutral","RT @ElenaShelest: #StopPutinNOW STOP #Genocide","mellylamelle"
"neutral","ロシアから撤退していない #ネスレ #ネッスル を利用することはロシアの成功をおさめ、それにより第３次世界大戦への道を開くことにより、あなたの命の危険に合うことに同意したこととなります。\n\n#NoWar #StopPutinNOW #StandWithUkraine","nono_roshia"
"neutral","Доброго ранку, безсмертна Україно!\n\nХочемо висловити сердечні співчуття загиблим.\nЯ віддаю шану душі вас, українськ… https://t.co/pBbFBYAAxT","iWWyufduZ65zCtC"
"neutral","@UN @UN what about forcefully relocated to Russia kids and adults? How did you help? Or maybe you actually helped f… https://t.co/55dlKhCMqc","alla_pinkas"
"negative","RT @lesiavasylenko: 100 days of pain and suffering for #Ukraine. Families get wiped out. 261 kids killed. 463 wounded. These are not number…","AAkermane"
"negative","RT @kiraincongress: As an animal rights activist I am outraged. Several thousand dolphins have died in the #Black Sea because of the #russi…","AdinOfCrimea"
"neutral","RT @esoriram1: Over 190.000 Ukrainian children stolen from Donbass  to Russia. This is Genocide! #StopPutinNOW \n\n@ZelenskyyUa @POTUS @FLOTU…","SimonaPorrino"
"negative","RT @lesiavasylenko: 100 days of pain and suffering for #Ukraine. Families get wiped out. 261 kids killed. 463 wounded. These are not number…","HockGuru"
"negative","RT @lesiavasylenko: 100 days of pain and suffering for #Ukraine. Families get wiped out. 261 kids killed. 463 wounded. These are not number…","Stupormundi66"
"positive","RT @kiraincongress: There are fears that #Severodonetsk may have its own #Azovstal. About 800 people are hiding in Soviet-era bomb shelters…","durban_warren"
"negative","RT @UkiLifeAbroad: They are apparently refusing to support each other's units or fight for each other's so called territory. \n\n#ukraine #lu…","Robert2909"
"negative","RT @lesiavasylenko: 100 days of pain and suffering for #Ukraine. Families get wiped out. 261 kids killed. 463 wounded. These are not number…","Mag2012Ge"
"negative","RT @kiraincongress: As an animal rights activist I am outraged. Several thousand dolphins have died in the #Black Sea because of the #russi…","KlausRieneck"
"neutral","#StandWithUkraine #StandUpForUkraine  #StopPutinNOW #StopRussianAggression #ArmUkraineNow #ArmUkraine https://t.co/dTMhuseXHP","ThomasAMarx"
"neutral","\"Soldiers\" from the #DPR (DNR) captured in #Severodonetsk (English Translation)\n\n#news #UkraineWar #SlavaUkraini… https://t.co/agXi0YQJGn","Jim23194777"
"negative","RT @kiraincongress: As an animal rights activist I am outraged. Several thousand dolphins have died in the #Black Sea because of the #russi…","LevHavryliv"
"negative","#Russian 🇷🇺 Air Force active from #Moscow going East.\nTupolev Tu-154M\nRussia - Air Force | RA-85123 | 154C83… https://t.co/Hoyn9NhLYt","FlconEYES"
"neutral","RT @three_cube: SCADA/ICS Hacking is the next stage in this cyberwar.\n\n#SlavaUkrayini \n#cyberwarrior \n#scadahacking\n#StopPutinNOW https://t…","HarmonyUsInc"
"neutral","RT @three_cube: SCADA/ICS Hacking is the next stage in this cyberwar.\n\n#SlavaUkrayini \n#cyberwarrior \n#scadahacking\n#StopPutinNOW https://t…","BornerJere"
"neutral","RT @u24_news: In #Severodonetsk, the National Guard @NatsGvardiya hit the occupiers' armored vehicles maneuvering through the streets with…","Andrzej53356067"
"negative","RT @lesiavasylenko: 100 days of pain and suffering for #Ukraine. Families get wiped out. 261 kids killed. 463 wounded. These are not number…","FrancesBurley1"
"neutral","#StopPutinNOW\n#PutinIsaWarCriminal\nhttps://t.co/IjNAYEZND3","bela099"
"neutral","RT @MavkaSlavka: 100 days of war. When will it all end? #RussiaInvadedUkraine #StopPutinNOW #ArmUkraineNOW https://t.co/agSckJcO7A","Seantoir"
"positive","RT @MavkaSlavka: Putler's guardian angels.... Enough talking and appeasing #StopPutinNOW - his Z orc army kills innocent Ukrainians every h…","Seantoir"
"positive","RT @MavkaSlavka: Propaganda and brainwashing start early. Fascism is alive in Putler's ruZZia - it's been adopted into the doctrine of ever…","Seantoir"
"neutral","RT @MavkaSlavka: Putler keeps delivering his gas and oil to Berlin. Russia should be totally cut off from the world, because they do not wa…","Seantoir"
"neutral","RT @MavkaSlavka: Putler's already started WW3. The world just doesn't want to see it that way. #StopPutinNOW #UkraineGenocide #NeverAgain h…","Seantoir"
"neutral","RT @MavkaSlavka: 3000+ days of this, and the world watches.... #PutinWarCriminal #StopPutinNOW #UkraineGenocide https://t.co/ZdIkYdLbmb","Seantoir"
"positive","RT @MavkaSlavka: The body bags keep piling up. The war crimes keep piling up. What's the magic number to #StopPutinNOW? #RussiaInvadedUkrai…","Seantoir"
"negative","RT @lesiavasylenko: 100 days of pain and suffering for #Ukraine. Families get wiped out. 261 kids killed. 463 wounded. These are not number…","ekondr"
"neutral","RT @aki33906255: ウクライナ侵攻が始まったときは一般のロシア国民に罪はなくプーチンの暴走のみ非難されるべきと感じていたが、多くのロシア人が彼を支持し殺戮は未だ止まず、知ろうと思えば手段はある筈なのにと\nロシア国民の鈍感さは既に罪だと今は思う\n\n#ニュースウオッチ…","schumassaF1"
"neutral","RT @kaeru_eruta: ロシア侵略100日間🔥\n100日間の経過を観察できる地図です。\n#StopPutinNOW  #ArmUkraineNow⚔️ https://t.co/P0CZo3PaFo","sayasaya777"
"positive","RT @DutchFarmerInUA: The Netherlands has never traded so much with Ukraine as last year.\n\nIn total, the Netherlands bought more than 2 bill…","DutchFarmerInUA"
"positive","RT @AnonymousPab: ⚡We are reminding ⚡. True Anonymous do not charge money. Pass on this information. Let it fly into the world🌐\n#UkraineWar…","AuthorClaire2"
"neutral","RT @aki33906255: ウクライナ侵攻が始まったときは一般のロシア国民に罪はなくプーチンの暴走のみ非難されるべきと感じていたが、多くのロシア人が彼を支持し殺戮は未だ止まず、知ろうと思えば手段はある筈なのにと\nロシア国民の鈍感さは既に罪だと今は思う\n\n#ニュースウオッチ…","k_paris_me"
"neutral","ロシアから撤退していない #Paypal を利用することはロシアの成功をおさめ、それにより第３次世界大戦への道を開くことにより、あなたの命の危険に合うことに同意したこととなります。\n\n#NoWar #StopPutinNOW #StandWithUkraine","nono_roshia"
"neutral","RT @ua_hakken: 6月1日はウクライナで子供の日を祝います。ロシアが始めた戦争に多くの子どもたちが巻き込まれています。ウクライナが勝利し,一日も早く平和になって欲しいです。ウクライナの子どもたちはウクライナで明るい将来を持って欲しいです🇺🇦\n#ウクライナ\n#Stan…","zr04NzpB8pYOZ44"
"negative","RT @lesiavasylenko: 100 days of pain and suffering for #Ukraine. Families get wiped out. 261 kids killed. 463 wounded. These are not number…","dienachtistohne"
"positive","RT @BarbelKonkel: @EuromaidanPR I would also like to know! Where are they? How are you? Why are they already forgotten or aren't they? Far…","LaLaFrance2"
"neutral","RT @cittameraviglia: 私は戦争に反対します\n#StopPutinNOW\n#нетвойне\n#Противійни\n#NoWar\n#あらゆる戦争に反対します https://t.co/lIYIfNIM2i","56NdPNcPjsRBNHs"
"negative","RT @kiraincongress: As an animal rights activist I am outraged. Several thousand dolphins have died in the #Black Sea because of the #russi…","DonnaRapado"
"negative","RT @lesiavasylenko: 100 days of pain and suffering for #Ukraine. Families get wiped out. 261 kids killed. 463 wounded. These are not number…","CicchiRoby"
"neutral","RT @HumrightsOnline: 📍 Финансовая помощь украинцам в Румынии: как получить выплаты\n\n#Ukraine #Refugees #UkraineWar #UkraineRussianWar  #Rom…","c9db64cef1254da"
"negative","RT @u24_news: A view of new graves for people killed during Russia's invasion of Ukraine, at a cemetery in #Bucha, #Kyiv region, Ukraine\n\n#…","BlowOfTheWind"
"negative","RT @lesiavasylenko: 100 days of pain and suffering for #Ukraine. Families get wiped out. 261 kids killed. 463 wounded. These are not number…","surangapereira"
"neutral","RT @debbie156: @kathrynresister @RogueCitizenOne #StopPutinNOW #ArrestTrump #DeportMurdock","Daryng66"
"neutral","RT @ua_hakken: ウクライナの最も有名なリゾート地の一つであるオデーサ市です。これからビーチシーズンの準備に入るはずですが,実際はこんな作業... \n#ウクライナ\n#StopPutinNOW https://t.co/RgLpRiNi3I","_dj_ambitious"
