sentiment,text,user
"neutral","RT @IndiaNews_itv: 24 फरवरी को शुरू हुई रूस-यूक्रेन जंग को 100 दिन पूरे हो चुके है, लेकिन फिर भी पुतिन रुकने का नाम नहीं ले रहें है ?\n\nआखिर…","SIMRANJ34199407"
"neutral","RT @IndiaNews_itv: कितना तबाह यूक्रेन, कितने मज़बूत जेलेंस्की ?\n\n#RussianArmy #RussianUkrainianWar #UkraineWar #UkraineUnderAttaсk #Vladimi…","SIMRANJ34199407"
"neutral","RT @IndiaNews_itv: Russia Ukraine War: रूसी सेना ने अब तक यूक्रेन के किन हिस्सों पर कब्जा किया है?\n\n#RussianArmy #RussianUkrainianWar #Ukra…","SIMRANJ34199407"
"neutral","RT @IndiaNews_itv: Russia Ukraine War: कितना जीता रूस, क्या पाए पुतिन ?\n\n#RussianArmy #RussianUkrainianWar #UkraineWar #UkraineUnderAttaсk…","SIMRANJ34199407"
"neutral","RT @IndiaNews_itv: दुनिया के अंदर दो ही देश ऐसे है जो रूस से क्रूड ऑयल ले रहें है जिसमें एक भारत है- रूस-यूक्रेन युद्ध को लेकर बोले बीजेपी…","SIMRANJ34199407"
"neutral","RT @IndiaNews_itv: रूस-यूक्रेन युद्ध को हुए 100 दिन, अब आगे क्या ? \n\n#RussianArmy #RussianUkrainianWar #UkraineWar #UkraineUnderAttaсk #Vla…","SIMRANJ34199407"
"neutral","In yesterday's clashes, the #UkrainianArmy recaptured two regions of #Severodonetsk from the #Russians. In another… https://t.co/6uWnHFN7og","AbdullahManaz"
"neutral","aerial vehicles of the enemy, jamming cellular communication centers and Internet sources at the command posts of t… https://t.co/n9ULyHv7ld","gahamalian"
"positive","RT @Suriyakmaps: During the last two days of combats, on northeastern front #RussianArmy &amp; #DPR forces advanced from two axis at the northe…","EDDYDON9"
"negative","On the line of contact in the #Zaporozhye region, an exchange of bodies of the dead between #Russia and #Ukraine wa… https://t.co/o0WPIZmiL7","gahamalian"
"neutral","He did not have time to finish, as the #Russian gunners fulfilled his desire.\n\n#UkraineRussiaWar #RussianArmy","gahamalian"
"positive","RT @Suriyakmaps: During the last two days of combats, on northeastern front #RussianArmy &amp; #DPR forces advanced from two axis at the northe…","HulshofMenno"
"neutral","RT @leonelk855: 🇷🇺Ukrainian Triton IMV with captured as a trophy. Now it is a part of a Z-machine😎🤟#RussianArmy https://t.co/lyLXJdSkdx","45Questor"
"neutral","RT @RwsyaAjl: استهداف مواقع القوات الاوكرانية في سلافيانسك\nروسيا تنتصر ❤️🇷🇺\n#روسيا_واوكرانيا  #روسيا #اوكرانيا #RussianArmy #Ukrainan #Ukra…","zin86408524"
"positive","RT @coope125: Kamyshevakha is liberated from #Ukrainian nationalist's, #Chechen special forces are already in the center of the city, movin…","onicha_benjami"
"neutral","Русским солдатам\n\nТвоя мама всегда желает тебе счастья.\n\nНе ходите на поле боя за нежелательной войной.\n\nПожалуйста… https://t.co/UQ5xDiaMzQ","cham31650863"
"neutral","‼️ヘルソンではドネツクに帰りたいロシア殺戮盗賊レイプ団が(もしかしたらまだ兵士かも)プーチンに苦情‼️足が痛い薬がない食べ物もない高血圧だ #RussianArmy #PutinWarCriminal #СКСМР #Z… https://t.co/6F3ceIHDut","dolphinpandora"
"neutral","Let's help #Ukraine Ctrl-Z #RussianArmy! 😁\n\n#StandWithUkraine #ArmUkraineNow #UkraineWillWin https://t.co/NLJWVqaNhS","beefenders"
"negative","RT @realBertBlocken: Everywhere in Russia, small clay persons show up that protest against the war in @Ukraine \n\"None of them has yet been…","gart_scheppers"
"positive","RT @Suriyakmaps: During the last two days of combats, on northeastern front #RussianArmy &amp; #DPR forces advanced from two axis at the northe…","SyriaWar2"
"neutral","RT @KyivPost: The #RussianArmy shelled the city of #Slovyansk in #Donetsk Oblast, killing three people and injuring another six. https://t.…","Marie_Laveau_"
"positive","RT @mns120: Otra baja en los mandos Rusos 🇷🇺, el carnicero de Syria, General Alexander Dvornikov comandante en jefe de la Operacion Especia…","mns120"
"neutral","#RussianArmy #cowardlyRussians #RussianWarCriminals #russiansoldiers #russiantorture #ukraine #Warzone #war https://t.co/LI2kKl1wJU","AquaRayban"
"neutral","RT @RwsyaAjl: انسحبت القوات الأوكرانية إلى الضفة الغربية لنهر سيفرسكي دونيتس بالقرب من ليمان تاركة  خلفها خمس قرى\nروسيا تنتصر ❤️🇷🇺\n#روسيا_و…","abo_nazeeh"
"neutral","RT @RwsyaAjl: نتائج قصف معسكر المرتزقة في  احدى الجبهات، حيث تم تدمير جزء من الثكنات مع الأفراد.\n روسيا تنتصر ❤️🇷🇺\n#روسيا_واوكرانيا  #روسيا…","abo_nazeeh"
"positive","RT @TGTM_Official: Russia and China, they're not hiding anymore.\nSo called peaceful nations. Most of the world Military expenditure are bec…","Adamspartner"
"neutral","RT @RwsyaAjl: اغتنام عربة اوكرانية مدرعة من طراز تريتون\nروسيا تنتصر ❤️🇷🇺\n#روسيا_واوكرانيا  #روسيا #اوكرانيا #RussianArmy #Ukrainan #Ukraine…","abo_nazeeh"
"neutral","RT @RwsyaAjl: اغتنام دبابة أوكرانية من طراز T-72B\nروسيا تنتصر ❤️🇷🇺\n#روسيا_واوكرانيا  #روسيا #اوكرانيا #RussianArmy #Ukrainan #UkraineRussie…","abo_nazeeh"
"neutral","RT @RwsyaAjl: طائرة SU-25 روسية بعد اصابتها بصاروخ ارض جو محمول على الكتف Manpads وعودتها الى قواعدها بسلام\nروسيا تنتصر ❤️🇷🇺\n#روسيا_واوكران…","abo_nazeeh"
"neutral","RT @RwsyaAjl: حاملة الطائرات الروسية  \"كوزنتسوف\" في رصيف حوض بناء السفن الخامس والثلاثين في مورمانسك..\nروسيا تنتصر ❤️🇷🇺\n#روسيا_واوكرانيا  #…","abo_nazeeh"
"neutral","RT @RwsyaAjl: غلاف مجلة الإيكونوميست البريطانية \nحقبة جديدة... كيف جعلت الحرب في أوكرانيا الصراع النووي أكثر احتمالا.\nروسيا تنتصر ❤️🇷🇺\n#روس…","abo_nazeeh"
"negative","RT @BlackdiasporaV1: Joe Biden is making the same mistake that American foreign policy did in Afghanistan against the Soviet Union 40 years…","diogenesihcoj"
"neutral","RT @RwsyaAjl: الرئيس الشيشاني رمضان قديروف صرح بعد لقائه بوزير الدفاع الروسي سيرغي شويغو أن الأخير حدد مهام جديدة تنطوي على تحسين التكتيكات…","abo_nazeeh"
"neutral","RT @RwsyaAjl: نتائج الاشتباك بين القوات الروسية وحلفائها مع القوات الاوكرانية على جبهة ايزيوم.\nمزيد من صور القتلى على قناتي تلغرام لتجنب ال…","abo_nazeeh"
"neutral","RT @RwsyaAjl: الوضع الميداني في أوكرانيا ليوم 3 حزيران تبعاً لما نشرته وزارة الدفاع الفرنسية\nروسيا تنتصر ❤️🇷🇺\n#روسيا_واوكرانيا  #روسيا #اوك…","abo_nazeeh"
"neutral","RT @karolybahri: Putin is sad that from more than 10000 chechens sent to Ukraine, only 26 survived to make tiktok vídeos. \n\nhttps://t.co/pM…","_dj_ambitious"
"neutral","such comments cab lead to a war...are they deliberately doing this?? \n\n#Russian #RussianArmy #UkraineWar #Ukrania N… https://t.co/eBslnsaHuc","bstocks_org"
"negative","Joe Biden is making the same mistake that American foreign policy did in Afghanistan against the Soviet Union 40 ye… https://t.co/tMQo24hZ3k","BlackdiasporaV1"
"negative","NATO chief on Ukraine war\n\n\" We need to be prepared that this may actually drag on for a long time..\" \n\n#Russian… https://t.co/Y4lNeBHSgc","bstocks_org"
"positive","RT @O_Ostapchuk: #RussiaUkrainianWar entered the life of 13-year-old Daryna on the last winter day, when #RussianArmy seized her village in…","LaLaFrance2"
