sentiment,text,user
"positive","RT @Suriyakmaps: During the last two days of combats, on northeastern front #RussianArmy &amp; #DPR forces advanced from two axis at the northe…","war_int"
"neutral","Z nędznego życia hordy orków:\nJeden z rosyjskich żołnierzy ukradł mieszkańcowi #Mariupol-a konsolę #PlayStation 4,… https://t.co/3Io4G43oY5","ArturHawliczek"
"positive","RT @Suriyakmaps: During the last two days of combats, on northeastern front #RussianArmy &amp; #DPR forces advanced from two axis at the northe…","arifzam2019"
"positive","RT @Suriyakmaps: During the last two days of combats, on northeastern front #RussianArmy &amp; #DPR forces advanced from two axis at the northe…","fassbear"
"neutral","RT @Suriyakmaps: Situation of #Kherson offensive:\nDuring the last three days #RussianArmy managed to push back #UkrainianArmy towards the c…","fassbear"
"neutral","RT @leonelk855: 🇷🇺Ukrainian Triton IMV with captured as a trophy. Now it is a part of a Z-machine😎🤟#RussianArmy https://t.co/lyLXJdSkdx","may_maeli"
"neutral","RT @Suriyakmaps: In addition, on northeastern front, during the last 4 days #RussianArmy managed to recapture Ternova/Тернова town &amp; began…","fassbear"
"neutral","RT @leonelk855: 🇷🇺Ukrainian Triton IMV with captured as a trophy. Now it is a part of a Z-machine😎🤟#RussianArmy https://t.co/lyLXJdSkdx","teboho_eff"
"neutral","RT @TV9Marathi: Russia Ukraine War : रशिया - युक्रेन युद्धाचे 100 दिवस... कुणी काय कमावलं, काय गमावलं? https://t.co/LBdXCkmuKj #Russia #Ukr…","nishant1amity"
"negative","RT @leonelk855: 🇷🇺 Russian TOS-1A heavy flamethrower system burning out the fortified positions of the AFU near Avdiivka. #RussianArmy http…","NZaxarova"
"neutral","#RussiaUkraineWar कवर कर रही न्यूज एजंसी #Reuters की गाड़ी आई आग की चपेट में\n \nहादसे में ड्राइवर की मौत, दो पत्रकार… https://t.co/lBKj78DUBL","fmnews_india"
"neutral","@visegrad24 @EmmanuelMacron, how about #PutinsWar must stop and  #RussianArmy hand themselves in to @iccr_TheHague… https://t.co/cnsDR2tToG","BeenDunOver"
"neutral","RT @leonelk855: 🇷🇺Ukrainian Triton IMV with captured as a trophy. Now it is a part of a Z-machine😎🤟#RussianArmy https://t.co/lyLXJdSkdx","NZaxarova"
"positive","Just in from Israel Ministry of Foreign Affairs-Snake island 13 saved a transgender 2 year old from sexual assault… https://t.co/h7l7NvazUG","Dan_T87"
"negative","RT @Youblacksoul: Often, an ordinary guy, whom no one could ever imagine as the hero of a movie about the war, becomes a real hero, this gu…","AnnaDarko4"
"negative","#Turks &amp; Kurds of #Ataturk entering in #Greek Smyrna occupying &amp; destroying the cosmopolitan city on September 1922… https://t.co/StlXlfWpNh","JIMMYMAR2"
"neutral","RT @TuMeraHyBs: #COAS\nPicture of the day 👍\nRetweet\n#bajwa #RETWEEET #وہ_کون_تھا #امپورٹڈ_حکومت_نامنظور \n#امپورٹڈ_مہنگائی_ریجیکٹڈ \n#امپورٹڈ_…","Ismail75642977"
"positive","RT @Suriyakmaps: During the last two days of combats, on northeastern front #RussianArmy &amp; #DPR forces advanced from two axis at the northe…","lolodetyrosse"
"neutral","RT @leonelk855: 🇷🇺Ukrainian Triton IMV with captured as a trophy. Now it is a part of a Z-machine😎🤟#RussianArmy https://t.co/lyLXJdSkdx","zarnica30V"
"positive","RT @WARFOOTAGE2: Great Loss f a Russian Army noted here.\n\n#RussiaUkraineWar #Ukraine #ukrainewar #Russia #RussianArmy #war https://t.co/wJb…","Archlet1"
"neutral","@JoeBiden @EmmanuelMacron @OlafScholz can all kiss my 🍑 Слава Україні, Героям Слава!\n\n#Ukraina #Russian… https://t.co/2VoQBjr6Zm","MalaFide11"
"positive","RT @Hina_Moradabadi: ⚡ Let see who is more popular contestant in  #KKK12.\n\n#MUFC\n#MunawarKiJanta\n#PratikFam\n#PratikSehajpal #TejasswiPrakas…","munawar0019"
"neutral","#Ukraine: Ukrainian forces destroyed the Russian BMP-2 IFV in #Zaporizhzhia Oblast using a drone that dropped anti-… https://t.co/SqK6vhiAyL","UWTracker"
"neutral","RT @TuMeraHyBs: #COAS\nPicture of the day 👍\nRetweet\n#bajwa #RETWEEET #وہ_کون_تھا #امپورٹڈ_حکومت_نامنظور \n#امپورٹڈ_مہنگائی_ریجیکٹڈ \n#امپورٹڈ_…","u88711"
"neutral","RT @TuMeraHyBs: #COAS\nPicture of the day 👍\nRetweet\n#bajwa #RETWEEET #وہ_کون_تھا #امپورٹڈ_حکومت_نامنظور \n#امپورٹڈ_مہنگائی_ریجیکٹڈ \n#امپورٹڈ_…","Crescia1949"
"neutral","RT @leonelk855: 🇷🇺Ukrainian Triton IMV with captured as a trophy. Now it is a part of a Z-machine😎🤟#RussianArmy https://t.co/lyLXJdSkdx","Crescia1949"
"neutral","@blackintheempir So, as a #Socialist and internationalist, I stand with the #RussianArmy , but also with the suffer… https://t.co/e6suYoqGun","Crescia1949"
"neutral","RT @TuMeraHyBs: #COAS\nPicture of the day 👍\nRetweet\n#bajwa #RETWEEET #وہ_کون_تھا #امپورٹڈ_حکومت_نامنظور \n#امپورٹڈ_مہنگائی_ریجیکٹڈ \n#امپورٹڈ_…","NaeemaRanjha"
"neutral","RT @gahamalian: Not just #Zatoka but another bridge in #Nikolaev region was visited today by our #Kalibrs.\n\n#RussianArmy https://t.co/vkGRn…","davidwjohns1111"
"positive","RT @gahamalian: And this comes along with the fact that #Russian MOD is publishing the archive docs about the liberation of #Nikolaev durin…","davidwjohns1111"
"neutral","Translation: @EmmanuelMacron is dog 💩.\n\n#Ukraine️ #Ukraina #RussianArmy #StandWithUkraine https://t.co/4aidrcqC86","MalaFide11"
"neutral","RT @ukrainenewstop: Возле #Киева продолжают доставать из воды российские вертолеты \n\nУтопленник, предположительно Ми-35 с подводными пилота…","cruiser_moscow"
"neutral","RT @KYTKYTKYTKYTKYT: Ο επικεφαλής της περιφερειακής ομάδας του «Δεξιού Τομέα» στην Οδησσό καμαρώνει με έναν άμαχο όμηρο. Η επιγραφή στο έμπ…","GreekLeft"
"positive","How AMAZING that 2 different wars produced the EXACT same damages in the EXACT same locations!!! 🤪… https://t.co/JMuRHRDrXd","1776Lisafuta"
"neutral","Возле #Киева продолжают доставать из воды российские вертолеты \n\nУтопленник, предположительно Ми-35 с подводными пи… https://t.co/GGOKcRQnWF","ukrainenewstop"
"neutral","RT @TuMeraHyBs: #COAS\nPicture of the day 👍\nRetweet\n#bajwa #RETWEEET #وہ_کون_تھا #امپورٹڈ_حکومت_نامنظور \n#امپورٹڈ_مہنگائی_ریجیکٹڈ \n#امپورٹڈ_…","AishaRathore12"
"neutral","#COAS\nPicture of the day 👍\nRetweet\n#bajwa #RETWEEET #وہ_کون_تھا #امپورٹڈ_حکومت_نامنظور \n#امپورٹڈ_مہنگائی_ریجیکٹڈ… https://t.co/Bp2d147MOB","TuMeraHyBs"
"neutral","RT @leonelk855: 🇷🇺Ukrainian Triton IMV with captured as a trophy. Now it is a part of a Z-machine😎🤟#RussianArmy https://t.co/lyLXJdSkdx","izmash1991"
"neutral","RT @leonelk855: 🇷🇺Ukrainian Triton IMV with captured as a trophy. Now it is a part of a Z-machine😎🤟#RussianArmy https://t.co/lyLXJdSkdx","SilverW21655701"
"positive","RT @moveebuff1953: #RussianArmy is raping, murdering, torturing innocent civilians.  Russians just lie.  I bet the POW's are being tortured…","bolivia73269891"
"neutral","RT @leonelk855: 🇷🇺Russian MLRS working in the Liman direction 💥🔥 #RussianArmy https://t.co/VZZ88LMx0g","5XSSjZEDx2J13Zw"
"neutral","RT @WithyGrove: VIDEO: @GeorgeSzamuely on the mythology created by Western politicians and their media concerning the Ukrainian armed force…","madanabhat"
"neutral","RT @TemppuTerava: BBC News - The Russian soldiers refusing to fight in Ukraine\n#Venäjä #RussianArmy #RussianWarCrimes\nhttps://t.co/x2AfExxK…","junky_sm"
"negative","EMERGENCY ALERT. THE USA JUST DECLARED WAR ON RUSSIA. THIS IS SO BAD https://t.co/sKmq3WoVp3 via @YouTube… https://t.co/9DAs6Tka1e","mario_chaos"
"neutral","RT @Suriyakmaps: In addition, on northeastern front, during the last 4 days #RussianArmy managed to recapture Ternova/Тернова town &amp; began…","NSutim"
"neutral","RT @TemppuTerava: BBC News - The Russian soldiers refusing to fight in Ukraine\n#Venäjä #RussianArmy #RussianWarCrimes\nhttps://t.co/x2AfExxK…","BlowOfTheWind"
"positive","🇺🇦 Epic video. 💪🏼🤡\n\nHigh tech weapons at work.\n\n@CanadianUkrain1 \n@Osinttechnical \n@igorsushko \n@IAPonomarenko… https://t.co/vs91FY5sWm","cfhaacke"
"neutral","RT @Click_Syria: نظام الصواريخ الروسية متعدد الاطلاق 9K57 \"إعصار\" يستهدف مواقع الجيش الأوكراني.\n\n#Ukraine \n#RussianArmy https://t.co/AKh8zt…","Zahraa9218"
"negative","RT @morphett_c: #Russian Major Yevgeny Sulokhin 331st Airborne Regiment killed #Ukraine \n#DeadRussianSoldiers  #RussianArmy \n@GrammarDomin8…","deutschelady"
"neutral","RT @WithyGrove: VIDEO: @GeorgeSzamuely on the mythology created by Western politicians and their media concerning the Ukrainian armed force…","Katanning9"
"positive","RT @IndiaNews_itv: यूक्रेन महायुद्ध को हुए 100 दिन\n\nदेखिए, WAR SPECIAL आज शाम 5 बजे से लगातार सिर्फ 'इंडिया न्यूज़' पर \n\n#RussianArmy #Russ…","BhartiY45680776"
"negative","RT @Ian_Thomas2016: Western media chorus: \"#Russia's losing, #Putin kaput, #RussianArmy can't fight, #tanks NFG.\"\nCurious how 🇷🇺 victories…","Remember1421"
"positive","Wow! Azov battalion rebranded where their not Nazis bow!!  so I guess racists, after saying a racist comment, after… https://t.co/OM2prY9pxk","TomR15288961"
"neutral","RT @leonelk855: 🇷🇺Ukrainian Triton IMV with captured as a trophy. Now it is a part of a Z-machine😎🤟#RussianArmy https://t.co/lyLXJdSkdx","YoshkinKotof"
"negative","RT @morphett_c: #Russian Major Yevgeny Sulokhin 331st Airborne Regiment killed #Ukraine \n#DeadRussianSoldiers  #RussianArmy \n@GrammarDomin8…","carol_33410"
"negative","RT @morphett_c: #Russian Major Yevgeny Sulokhin 331st Airborne Regiment killed #Ukraine \n#DeadRussianSoldiers  #RussianArmy \n@GrammarDomin8…","ZenMaddie"
"neutral","Dear #Russia \n\n#RussianArmy https://t.co/lBZc8sTBon","KikiLockhart"
"neutral","#PutinWarCriminal #RussianArmy #RussianWarCrimes #Ukraine 🌻 https://t.co/H5TP3yqEh1 https://t.co/URCVOm04rr","AverageTweet75"
"neutral","RT @leonelk855: 🇷🇺Ukrainian Triton IMV with captured as a trophy. Now it is a part of a Z-machine😎🤟#RussianArmy https://t.co/lyLXJdSkdx","emigrantizCCCP"
"neutral","$CLOV $CSCW $WWR $VISL $TSLA $NIO $CCIV $TRIT $RIOT $BNGO $MP $BLNK $AAPL $SPCE $PLUG $AMC #dogecoin #BTC … https://t.co/hyzmLGcJC9","TopherTrading"
