sentiment,text,user
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","KateRoe18"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","JFIFUDHDVHDJZUH"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","alessionaval"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","eng_vp"
"positive","RT @uasupport999: A group of 5 large landing ships, assembled from 3 fleets of the #Russian Navy, have left for the Black Sea, according to…","KatarzynaKlass"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","BeKindReWine"
"negative","RT @Capt_Navy: RFS 063 Admiral Kuznetsov of the 🇷🇺#Russian #Navy in the dry dock in Murmansk on May 31,2022. Photo from O.Filonok https://t…","f86d_"
"neutral","RT @CavasShips: Work to refit the #Russian #Navy's only aircraft carrier ADMIRAL #KUZNETSOV 063 has picked up at Murmansk. Ship is (at last…","f86d_"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","ukrainelivebot"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","KaptainLOMA"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","alex_dobrinin"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","vap_zondag"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","SciteCito"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","wildgees8"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","wallellaa"
"positive","RT @uasupport999: A group of 5 large landing ships, assembled from 3 fleets of the #Russian Navy, have left for the Black Sea, according to…","GagneuxEric"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","Matt_Ros"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","Cincus"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","Fandango831"
"positive","RT @uasupport999: A group of 5 large landing ships, assembled from 3 fleets of the #Russian Navy, have left for the Black Sea, according to…","longterm_invest"
"positive","RT @uasupport999: A group of 5 large landing ships, assembled from 3 fleets of the #Russian Navy, have left for the Black Sea, according to…","WiktorDv"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","SVelascoJimenez"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","dZN34X9U7sxebLP"
"positive","RT @USAS_WW1: #maps - #Russian Navy's real flagship and only aircraft carrier is laid up in Murmansk, thousands of miles away from the Blac…","zeusanna"
"positive","A group of 5 large landing ships, assembled from 3 fleets of the #Russian Navy, have left for the Black Sea, accord… https://t.co/ezj1fh7Cp3","uasupport999"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","trilatus"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","DebbieNester1"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","kdmms007"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","lporkert"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","basarabesc"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","clarinetwoman2"
"positive","RT @USAS_WW1: #maps - #Russian Navy's real flagship and only aircraft carrier is laid up in Murmansk, thousands of miles away from the Blac…","petekitching"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","rachel_maria65"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","MadisSarglepp"
"neutral","@deecanadian @JudahBDavis @centerepublican @RivetsAndPins @MartinKoenigsb2 @107Kazuno @militaryhistori… https://t.co/AlX4h115eP","USAS_WW1"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","GatisRamanis"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","Borg36271416"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","GacConservadora"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","KrazyKaoticMess"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","OSINT88"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","spectre_agent95"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","A_Woronecki"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","RDSWEB"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","schtinkygirl"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","HulshofMenno"
"negative","RT @Capt_Navy: RFS 063 Admiral Kuznetsov of the 🇷🇺#Russian #Navy in the dry dock in Murmansk on May 31,2022. Photo from O.Filonok https://t…","FORONAVAL"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","impofigu"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","_critic10_"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","cellcaller3"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","gigafestyu"
"neutral","RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part of…","Vivat_Ukraina"
